what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1345257045780
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1345257045780
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1345257045780
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1345257045780
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1345257045780
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1345257045780
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1345257045780
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1345257045781
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1345257045781
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1345257045781
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1345257045781
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1345257045781
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1345257045781
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1345257045781
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1345257045781
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1345257045781
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1345257045782
os,sysinfo,,,"macosx",1345257045784
arch,sysinfo,,,"x86",1345257045784
ws,sysinfo,,,"cocoa",1345257045784
locale,sysinfo,,,"en_US",1345257045784
processors,sysinfo,,,"4",1345257045784
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1345257045784
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1345257045784
java.specification.name,sysinfo,,,"Java Platform API Specification",1345257045784
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345257045784
java.specification.version,sysinfo,,,"1.6",1345257045784
java.vendor,sysinfo,,,"Apple Inc.",1345257045784
java.version,sysinfo,,,"1.6.0_33",1345257045784
java.vm.info,sysinfo,,,"mixed mode",1345257045784
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1345257045784
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1345257045784
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345257045784
java.vm.specification.version,sysinfo,,,"1.0",1345257045784
java.vm.vendor,sysinfo,,,"Apple Inc.",1345257045784
java.vm.version,sysinfo,,,"20.8-b03-424",1345257045784
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1345257045880
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1345257046069
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1345257046322
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1345257046378
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1345257046441
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1345257046478
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1345257046503
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1345257046848
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1345257046914
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1345257046993
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1345257047727
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1345257047812
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1345257047887
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1345257049629
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1345257050212
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1345258911933
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1345258911937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1345258912509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1345258915777
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1345258915928
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1345258917779
